AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 21:07:16,579  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59996 every 60000
AP162APH06==> [extension-scheduler-pool-2] 29 Apr 2024 21:08:12,923  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 21:11:43,302  INFO ControllerTimeSkewHandler - Agent timestamp: 1714410703302; Controller timestamp: 1714410686721; Skew value=16581 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 21:12:16,584  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59997 every 60000
AP162APH06==> [extension-scheduler-pool-3] 29 Apr 2024 21:13:12,927  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 21:16:43,317  INFO ControllerTimeSkewHandler - Agent timestamp: 1714411003317; Controller timestamp: 1714410986781; Skew value=16536 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 21:17:16,593  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59943 every 60000
AP162APH06==> [extension-scheduler-pool-11] 29 Apr 2024 21:18:12,869  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 21:21:43,337  INFO ControllerTimeSkewHandler - Agent timestamp: 1714411303337; Controller timestamp: 1714411286826; Skew value=16511 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter0] 29 Apr 2024 21:22:16,538  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59973 every 60000
AP162APH06==> [extension-scheduler-pool-7] 29 Apr 2024 21:23:42,862  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 21:26:43,357  INFO ControllerTimeSkewHandler - Agent timestamp: 1714411603357; Controller timestamp: 1714411586855; Skew value=16502 msec; agentLagging=false
AP162APH06==> [AD Thread-Metric Reporter1] 29 Apr 2024 21:27:16,513  INFO ManagedMonitorDelegate - MetricAggregation re-scheduled at 59989 every 60000
AP162APH06==> [extension-scheduler-pool-6] 29 Apr 2024 21:28:42,854  INFO ReportMetricsConfigSupplier - Basic metrics will be collected and reported through the SIM extension because SIM is enabled.
AP162APH06==> [Agent-Scheduler-1] 29 Apr 2024 21:31:43,393  INFO ControllerTimeSkewHandler - Agent timestamp: 1714411903393; Controller timestamp: 1714411886885; Skew value=16508 msec; agentLagging=false
